a, ᠠ
olji, ᠣᠯᠵᡳ
oljilambi, ᠣᠯᠵᡳᠯᠠᠮᠪᡳ
olo, ᠣᠯᠣ
olombi, ᠣᠯᠣᠮᠪᡳ
omimbi, ᠣᠮᡳᠮᠪᡳ
omo, ᠣᠮᠣ
omolo, ᠣᠮᠣᠯᠣ
omšon, ᠣᠮᡧᠣᠨ
on, ᠣᠨ
onco, ᠣᠨᠴᠣ
onggocon, ᠣᠩᡤᠣᠴᠣᠨ
onggombi, ᠣᠩᡤᠣᠮᠪᡳ
onggosu, ᠣᠩᡤᠣᠰᡠ
onon, ᠣᠨᠣᠨ
oodze, ᠣᠣᡯᡝ
oori, ᠣᠣᡵᡳ
ordo, ᠣᡵᡩᠣ
orgon, ᠣᡵᡤᠣᠨ
orho, ᠣᡵᡥᠣ
orhoda, ᠣᡵᡥᠣᡩᠠ
orici, ᠣᡵᡳᠴᡳ
orimbi, ᠣᡵᡳᠮᠪᡳ
orin, ᠣᡵᡳᠨ
oringgeri, ᠣᡵᡳᠩᡤᡝᡵᡳ
oron, ᠣᡵᠣᠨ
oronco, ᠣᡵᠣᠨᠴᠣ
oros, ᠣᡵᠣᠰ
oton, ᠣᡨ᠋ᠣᠨ
oyo, ᠣᠶᠣ
oyoki, ᠣᠶᠣᡴᡳ
ošoho, ᠣᡧᠣᡥᠣ
palta, ᡦᠠᠯᡨᠠ
pancan, ᡦᠠᠨᠴᠠᠨ
panghai, ᡦᠠᠩᡥᠠᡳ
pi, ᡦᡳ
pinggu, ᡦᡳᠩᡤᡠ
pingguri, ᡦᡳᠩᡤᡠᡵᡳ
piyan, ᡦᡳᠶᠠᠨ
pocong, ᡦᠣᠴᠣᠩ
poo, ᡦᠣᠣ
pusa, ᡦᡠᠰᠠ
puseli, ᡦᡠᠰᡝᠯᡳ
rakša, ᡵᠠᡴᡧᠠ
sa, ᠰᠠ
sabka, ᠰᠠᠪᡴᠠ
sabu, ᠰᠠᠪᡠ
sabula, ᠰᠠᠪᡠᠯᠠ
saca, ᠰᠠᠴᠠ
sacima, ᠰᠠᠴᡳᠮᠠ
sada, ᠰᠠᡩᠠ
saha, ᠰᠠᡥᠠ
sahahūn, ᠰᠠᡥᠠᡥᡡᠨ
sahaliyan, ᠰᠠᡥᠠᠯᡳᠶᠠᠨ
saifi, ᠰᠠᡳᡶᡳ
saihūwa, ᠰᠠᡳᡥᡡᠸᠠ
saikan, ᠰᠠᡳᡴᠠᠨ
saimbi, ᠰᠠᡳᠮᠪᡳ
sain, ᠰᠠᡳᠨ
sakda, ᠰᠠᡴᡩᠠ
saksaha, ᠰᠠᡴᠰᠠᡥᠠ
salja, ᠰᠠᠯᠵᠠ
salu, ᠰᠠᠯᡠ
samadi, ᠰᠠᠮᠠᡩᡳ
saman, ᠰᠠᠮᠠᠨ
sambi, ᠰᠠᠮᠪᡳ
sampa, ᠰᠠᠮᡦᠠ
sanca, ᠰᠠᠨᠴᠠ
sangguji, ᠰᠠᠩᡤᡠᠵᡳ
sangse, ᠰᠠᠩᠰᡝ
sansi, ᠰᠠᠨᠰᡳ
sara, ᠰᠠᡵᠠ
sarakū, ᠰᠠᡵᠠᡴᡡ
sarasu, ᠰᠠᡵᠠᠰᡠ
sargan, ᠰᠠᡵᡤᠠᠨ
sargiya, ᠰᠠᡵᡤᡳᠶᠠ
sarin, ᠰᠠᡵᡳᠨ
sarkū, ᠰᠠᡵᡴᡡ
sarluk, ᠰᠠᡵᠯᡠᡴ
sarpa, ᠰᠠᡵᡦᠠ
sasa, ᠰᠠᠰᠠ
se, ᠰᡝ
sebden, ᠰᡝᠪᡩᡝᠨ
sebjen, ᠰᡝᠪᠵᡝᠨ
sebseheri, ᠰᡝᠪᠰᡝᡥᡝᡵᡳ
sefu, ᠰᡝᡶᡠ
sehe, ᠰᡝᡥᡝ
seherembi, ᠰᡝᡥᡝᡵᡝᠮᠪᡳ
seire, ᠰᡝᡳᡵᡝ
sejen, ᠰᡝᠵᡝᠨ
sejesi, ᠰᡝᠵᡝᠰᡳ
sejilembi, ᠰᡝᠵᡳᠯᡝᠮᠪᡳ
seke, ᠰᡝᡴᡝ
sekiyen, ᠰᡝᡴᡳᠶᡝᠨ
sele, ᠰᡝᠯᡝ
selengge, ᠰᡝᠯᡝᠩᡤᡝ
sembi, ᠰᡝᠮᠪᡳ
seme, ᠰᡝᠮᡝ
sence, ᠰᡝᠨᠴᡝ
sencehe, ᠰᡝᠨᠴᡝᡥᡝ
sengge, ᠰᡝᠩᡤᡝ
senggi, ᠰᡝᠩᡤᡳ
sengkule, ᠰᡝᠩᡴᡠᠯᡝ
seolembi, ᠰᡝᠣᠯᡝᠮᠪᡳ
sere, ᠰᡝᡵᡝ
serembi, ᠰᡝᡵᡝᠮᠪᡳ
serengge, ᠰᡝᡵᡝᠩᡤᡝ
serguwen, ᠰᡝᡵᡤᡠᠸᡝᠨ
serguwešembi, ᠰᡝᡵᡤᡠᠸᡝᡧᡝᠮᠪᡳ
serki, ᠰᡝᡵᡴᡳ
serkin, ᠰᡝᡵᡴᡳᠨ
si, ᠰᡳ
sibe, ᠰᡳᠪᡝ
sifulu, ᠰᡳᡶᡠᠯᡠ
sihakū, ᠰᡳᡥᠠᡴᡡ
sihin, ᠰᡳᡥᡳᠨ
sijigiyan, ᠰᡳᠵᡳᡤᡳᠶᠠᠨ
sike, ᠰᡳᡴᡝ
sikse, ᠰᡳᡴᠰᡝ
sikseri, ᠰᡳᡴᠰᡝᡵᡳ
sile, ᠰᡳᠯᡝ
silenggi, ᠰᡳᠯᡝᠩᡤᡳ
silhi, ᠰᡳᠯᡥᡳ
silun, ᠰᡳᠯᡠᠨ
simbe, ᠰᡳᠮᠪᡝ
simbirsku, ᠰᡳᠮᠪᡳᡵᠰᡴᡠ
simelen, ᠰᡳᠮᡝᠯᡝᠨ
simen, ᠰᡳᠮᡝᠨ
simhun, ᠰᡳᠮᡥᡠᠨ
sinci, ᠰᡳᠨᠴᡳ
sinde, ᠰᡳᠨᡩᡝ
singgeri, ᠰᡳᠩᡤᡝᡵᡳ
sini, ᠰᡳᠨᡳ
sirambi, ᠰᡳᡵᠠᠮᠪᡳ
sirdan, ᠰᡳᡵᡩᠠᠨ
sirge, ᠰᡳᡵᡤᡝ
sirhacin, ᠰᡳᡵᡥᠠᠴᡳᠨ
sirin, ᠰᡳᡵᡳᠨ
sishe, ᠰᡳᠰᡥᡝ
sisi, ᠰᡳᠰᡳ
site᠋mbi, ᠰᡳᡨᡝ᠋ᠮᠪᡳ
sithen, ᠰᡳᡨᡥᡝᠨ
sišargan, ᠰᡳᡧᠠᡵᡤᠠᠨ
sogi, ᠰᠣᡤᡳ
sohin, ᠰᠣᡥᡳᠨ
sohon, ᠰᠣᡥᠣᠨ
soison, ᠰᠣᡳᠰᠣᠨ
solho, ᠰᠣᠯᡥᠣ
solmin, ᠰᠣᠯᠮᡳᠨ
solohi, ᠰᠣᠯᠣᡥᡳ
solon, ᠰᠣᠯᠣᠨ
solontu, ᠰᠣᠯᠣᠨᡨᡠ
soncoho, ᠰᠣᠨᠴᠣᡥᠣ
songgombi, ᠰᠣᠩᡤᠣᠮᠪᡳ
soro, ᠰᠣᡵᠣ
subarhan, ᠰᡠᠪᠠᡵᡥᠠᠨ
sube, ᠰᡠᠪᡝ
suduri, ᠰᡠᡩᡠᡵᡳ
sufan, ᠰᡠᡶᠠᠨ
suhe, ᠰᡠᡥᡝ
suhun, ᠰᡠᡥᡠᠨ
suifun, ᠰᡠᡳᡶᡠᠨ
suiha, ᠰᡠᡳᡥᠠ
suihe, ᠰᡠᡳᡥᡝ
suilan, ᠰᡠᡳᠯᠠᠨ
sukdun, ᠰᡠᡴᡩᡠᠨ
suksaha, ᠰᡠᡴᠰᠠᡥᠠ
sukū, ᠰᡠᡴᡡ
suman, ᠰᡠᠮᠠᠨ
sun, ᠰᡠᠨ
sunggari, ᠰᡠᠩᡤᠠᡵᡳ
sunja, ᠰᡠᠨᠵᠠ
sunjaci, ᠰᡠᠨᠵᠠᠴᡳ
sunjanggeri, ᠰᡠᠨᠵᠠᠩᡤᡝᡵᡳ
suran, ᠰᡠᡵᠠᠨ
suru, ᠰᡠᡵᡠ
susai, ᠰᡠᠰᠠᡳ
susu, ᠰᡠᠰᡠ
suwanda, ᠰᡠᠸᠠᠨ᠋ᡩ᠋ᠠ
suwayan, ᠰᡠᠸᠠᠶᠠᠨ
suwe, ᠰᡠᠸᡝ
suwembe, ᠰᡠᠸᡝᠮᠪᡝ
suwenci, ᠰᡠᠸᡝᠨᠴᡳ
suwende, ᠰᡠᠸᡝᠨᡩᡝ
suweni, ᠰᡠᠸᡝᠨᡳ
sycuwan, ᠰᡟᠴᡠᠸᠠᠨ
tacihiyan, ᡨ᠋ᠠᠴᡳᡥᡳᠶᠠᠨ
tacikū, ᡨᠠᠴᡳᡴᡡ
tacimbi, ᡨᠠᠴᡳᠮᠪᡳ
tacimsi, ᡨᠠᠴᡳᠮᠰᡳ
tacin, ᡨᠠᠴᡳᠨ
tahi, ᡨᠠᡥᡳ
taibu, ᡨᠠᡳᠪᡠ
taifin, ᡨᠠᡳᡶᡳᠨ
taigiyan, ᡨᠠᡳᡤᡳᠶᠠᠨ
taiji, ᡨᠠᡳᠵᡳ
taiwan, ᡨᠠᡳᠸᠠᠨ
taka, ᡨᠠᡴᠠ
tala, ᡨᠠᠯᠠ
talambi, ᡨᠠᠯᠠᠮᠪᡳ
talkiyambi, ᡨᠠᠯᡴᡳᠶᠠᠮᠪᡳ
talkiyan, ᡨ᠋ᠠᠯᡴᡳᠶᠠᠨ
talman, ᡨᠠᠯᠮᠠᠨ
tamambi, ᡨᠠᠮᠠᠮᠪᡳ
taman, ᡨᠠᠮᠠᠨ
tambi, ᡨᠠᠮᠪᡳ
tana, ᡨᠠᠨᠠ
tanggū, ᡨᠠᠩᡤᡡ
tara, ᡨᠠᡵᠠ
tarbahi, ᡨᠠᡵᠪᠠᡥᡳ
tarcan, ᡨᠠᡵᠴᠠᠨ
tarfu, ᡨᠠᡵᡶᡠ
tarhūn, ᡨᠠᡵᡥᡡᠨ
tasha, ᡨᠠᠰᡥᠠ
tatakū, ᡨᠠᡨᠠᡴᡡ
tatambi, ᡨᠠᡨᠠᠮᠪᡳ
tatame, ᡨᠠᡨᠠᠮᡝ
tatara, ᡨᠠᡨᠠᡵᠠ
tatuhan, ᡨᠠᡨᡠᡥᠠᠨ
te, ᡨᡝ
tebku, ᡨᡝᠪᡴᡠ
tehe, ᡨᡝᡥᡝ
teike, ᡨᡝᡳᡴᡝ
teišun, ᡨᡝᡳᡧᡠᠨ
teksin, ᡨᡝᡴᠰᡳᠨ
teku, ᡨᡝᡴᡠ
tembi, ᡨᡝᠮᠪᡳ
temen, ᡨᡝᠮᡝᠨ
temeri, ᡨᡝᠮᡝᡵᡳ
temgetu, ᡨᡝᠮᡤᡝᡨᡠ
tenggeri, ᡨᡝᠩᡤᡝᡵᡳ
tenggin, ᡨᡝᠩᡤᡳᠨ
tere, ᡨᡝᡵᡝ
terkimbi, ᡨᡝᡵᡴᡳᠮᠪᡳ
terkin, ᡨᡝᡵᡴᡳᠨ
teru, ᡨᡝᡵᡠ
te᠋lenggut, ᡨᡝ᠋ᠯᡝᠩᡤᡠᡨ
tiyan, ᡨ᠋ᡳᠶᠠᠨ
tobgiya, ᡨᠣᠪᡤᡳᠶᠠ
tofohoci, ᡨᠣᡶᠣᡥᠣᠴᡳ
tofohon, ᡨ᠋ᠣᡶ᠋ᠣᡥᠣᠨ
tofohonggeri, ᡨᠣᡶᠣᡥᠣᠩᡤᡝᡵᡳ
tofohorsu, ᡨᠣᡶᠣᡥᠣᡵᠰᡠ
toholon, ᡨᠣᡥᠣᠯᠣᠨ
tohon, ᡨᠣᡥᠣᠨ
tojin, ᡨᠣᠵᡳᠨ
toksitu, ᡨᠣᡴᠰᡳᡨᡠ
tokso, ᡨᠣᡴᠰᠣ
toktoho, ᡨᠣᡴᡨᠣᡥᠣ
toktombi, ᡨᠣᡴᡨᠣᠮᠪᡳ
tolgin, ᡨᠣᠯᡤᡳᠨ
tolon, ᡨᠣᠯᠣᠨ
ton, ᡨᠣᠨ
tondo, ᡨᠣᠨᡩᠣ
tonggo, ᡨᠣᠩᡤᠣ
toose, ᡨᠣᠣᠰᡝ
torhombi, ᡨᠣᡵᡥᠣᠮᠪᡳ
toro, ᡨᠣᡵᠣ
ts'aifung, ᡮᠠᡳᡶᡠᠩ
tubet, ᡨᡠᠪᡝᡨ
tubihe, ᡨᡠᠪᡳᡥᡝ
tugi, ᡨᡠᡤᡳ
tuhembi, ᡨᡠᡥᡝᠮᠪᡳ
tulergi, ᡨᡠᠯᡝᡵᡤᡳ
tulhun, ᡨᡠᠯᡥᡠᠨ
tumen, ᡨᡠᠮᡝᠨ
tumiha, ᡨᡠᠮᡳᡥᠠ
tumin, ᡨᡠᠮᡳᠨ
tun, ᡨᡠᠨ
tunggen, ᡨᡠᠩᡤᡝᠨ
tungjeo, ᡨᡠᠩᠵᡝᠣ
tungken, ᡨᡠᠩᡴᡝᠨ
tungse, ᡨᡠᠩᠰᡝ
tura, ᡨᡠᡵᠠ
turaki, ᡨᡠᡵᠠᡴᡳ
turakū, ᡨᡠᡵᠠᡴᡡ
turfan, ᡨᡠᡵᡶᠠᠨ
turga, ᡨᡠᡵᡤᠠ
turi, ᡨᡠᡵᡳ
tusumbi, ᡨᡠᠰᡠᠮᠪᡳ
tuwa, ᡨᡠᠸᠠ
tuwambi, ᡨᡠᠸᠠᠮᠪᡳ
tuweri, ᡨᡠᠸᡝᡵᡳ
tu᠋le, ᡨᡠ᠋ᠯᡝ
t᠋iyan, ᡨ᠋ᡳᠶᠠᠨ
u, ᡠ
uce, ᡠᠴᡝ
ucun, ᡠᠴᡠᠨ
udambi, ᡠᡩᠠᠮᠪᡳ
udu, ᡠᡩᡠ
ufa, ᡠᡶᠠ
ufuhu, ᡠᡶᡠᡥᡠ
uhala, ᡠᡥᠠᠯᠠ
uhen, ᡠᡥᡝᠨ
uheri, ᡠᡥᡝᡵᡳ
uhuken, ᡠᡥᡠᡴᡝᠨ
uhume, ᡠᡥᡠᠮᡝ
uigur, ᡠᡳᡤᡠᡵ
uihe, ᡠᡳᡥᡝ
ujan, ᡠᠵᠠᠨ
ujen, ᡠᠵᡝᠨ
ujirhi, ᡠᠵᡳᡵᡥᡳ
uju, ᡠᠵᡠ
ujui, ᡠᠵᡠᡳ
ukcambi, ᡠᡴᠴᠠᠮᠪᡳ
uksin, ᡠᡴ᠋ᠰᡳ᠍ᠨ
uksun, ᡠᡴᠰᡠᠨ
uksura, ᡠᡴᠰᡠᡵᠠ
ula, ᡠᠯᠠ
ulden, ᡠᠯᡩᡝ᠋ᠨ
ulgiyan, ᡠᠯᡤᡳᠶᠠᠨ
ulhi, ᡠᠯᡥᡳ
ulhu, ᡠᠯᡥᡠ
ulhūma, ᡠᠯᡥᡡᠮᠠ
uli, ᡠᠯᡳ
ulin, ᡠᠯᡳᠨ
ulme, ᡠᠯᠮᡝ
ume, ᡠᠮᡝ
umesi, ᡠᠮᡝᠰᡳ
umgan, ᡠᠮᡤᠠᠨ
umhan, ᡠᠮᡥᠠᠨ
umiyaha, ᡠᠮᡳᠶᠠᡥᠠ
umiyesun, ᡠᠮᡳᠶᡝᠰᡠᠨ
umpu, ᡠᠮᡦᡠ
umudu, ᡠᠮᡠᡩᡠ
un, ᡠᠨ
uncehen, ᡠᠨᠴᡝᡥᡝᠨ
undehen, ᡠᠨᡩᡝᡥᡝᠨ
unggu, ᡠᠩᡤᡠ
uniyen, ᡠᠨᡳᠶᡝᠨ
ura, ᡠᡵᠠ
urembi, ᡠᡵᡝᠮᠪᡳ
urse, ᡠᡵᠰᡝ
uruldembi, ᡠᡵᡠᠯᡩᡝᠮᠪᡳ
urumci, ᡠᡵᡠᠮᠴᡳ
urun, ᡠᡵᡠᠨ
use, ᡠᠰᡝ
usiha, ᡠᠰᡳᡥᠠ
usin, ᡠᠰᡳᠨ
usisi, ᡠᠰᡳᠰᡳ
uthai, ᡠᡨᡥᠠᡳ
uttu, ᡠᡨᡨᡠ
uyan, ᡠᠶᠠᠨ
uyašan, ᡠᠶᠠᡧᠠᠨ
uyuci, ᡠᠶᡠᠴᡳ
uyun, ᡠᠶᡠᠨ
uyungge, ᡠᠶᡠᠩᡤᡝ
uyunggeri, ᡠᠶᡠᠩᡤᡝᡵᡳ
uyunju, ᡠᠶᡠᠨᠵᡠ
uyursu, ᡠᠶᡠᡵᠰᡠ
uyute, ᡠᠶᡠᡨᡝ
uše, ᡠᡧᡝ
wa, ᠸᠠ
waburu, ᠸᠠᠪᡠᡵᡠ
wahai, ᠸᠠᡥᠠᡳ
wahūn, ᠸᠠᡥᡡᠨ
waidakū, ᠸᠠᡳᡩᠠᡴᡡ
waka, ᠸᠠᡴᠠ
wakalambi, ᠸᠠᡴᠠᠯᠠᠮᠪᡳ
wakalan, ᠸᠠᡴᠠᠯᠠᠨ
wakšan, ᠸᠠᡴᡧᠠᠨ
wali, ᠸᠠᠯᡳ
waliyambi, ᠸᠠᠯᡳᠶᠠᠮᠪᡳ
wambi, ᠸᠠᠮᠪᡳ
wan, ᠸᠠᠨ
wang, ᠸᠠᠩ
wangga, ᠸᠠᠩᡤᠠ
wanli, ᠸᠠᠨᠯᡳ
wargi, ᠸᠠᡵᡤᡳ
wasiha, ᠸᠠᠰᡳᡥᠠ
we, ᠸᡝ
wehe, ᠸᡝᡥᡝ
weihe, ᠸᡝᡳᡥᡝ
weihuken, ᠸᡝᡳᡥᡠᡴᡝᠨ
weile, ᠸᡝᡳᠯᡝ
weilen, ᠸᡝᡳᠯᡝᠨ
weniyembi, ᠸᡝᠨᡳᠶᡝᠮᠪᡳ
wesimbi, ᠸᡝᠰᡳᠮᠪᡳ
ya, ᠶᠠ
yabubufi, ᠶᠠᠪᡠᠪᡠᡶᡳ
yabumbi, ᠶᠠᠪᡠᠮᠪᡳ
yabun, ᠶᠠᠪᡠᠨ
yacihiyambi, ᠶᠠᠴᡳᡥᡳᠶᠠᠮᠪᡳ
yafahan, ᠶᠠᡶᠠᡥᠠᠨ
yafan, ᠶᠠᡶᠠᠨ
yafasi, ᠶᠠᡶᠠᠰᡳ
yaha, ᠶᠠᡥᠠ
yakca, ᠶᠠᡴᠴᠠ
yali, ᠶᠠᠯᡳ
yamji, ᠶᠠᠮᠵᡳ
yamjishūn, ᠶᠠᠮᠵᡳᠰᡥᡡᠨ
yamulambi, ᠶᠠᠮᡠᠯᠠᠮᠪᡳ
yamun, ᠶᠠᠮᡠᠨ
yargiyan, ᠶᠠᡵᡤᡳᠶᠠᠨ
yarha, ᠶᠠᡵᡥᠠ
yasa, ᠶᠠᠰᠠ
yasai, ᠶᠠᠰᠠᡳ
yatuhan, ᠶᠠᡨᡠᡥᠠᠨ
yaya, ᠶᠠᠶᠠ
yekserhen, ᠶᡝᡴᠰᡝᡵᡥᡝᠨ
yelu, ᠶᡝᠯᡠ
yen, ᠶᡝᠨ
yengguhe, ᠶᡝᠩᡤᡠᡥᡝ
yerhuwe, ᠶᡝᡵᡥᡠᠸᡝ
yerkim, ᠶᡝᡵᡴᡳᠮ
yertembi, ᠶᡝᡵᡨᡝᠮᠪᡳ
yeru, ᠶᡝᡵᡠ
yeye, ᠶᡝᠶᡝ
yobo, ᠶᠣᠪᠣ
yodan, ᠶᠣᡩᠠᠨ
yoho, ᠶᠣᡥᠣ
yonggan, ᠶᠣᠩᡤᠠᠨ
yoose, ᠶᠣᠣᠰᡝ
yoro, ᠶᠣᡵᠣ
yuwan, ᠶᡠᠸᠠᠨ
yuwei, ᠶᡠᠸᡝᡳ
yuyumbi, ᠶᡠᠶᡠᠮᠪᡳ
yuyun, ᠶᡠᠶᡠᠨ
šabi, ᡧᠠᠪᡳ
šaburu, ᡧᠠᠪᡠᡵᡠ
šahūn, ᡧᠠᡥᡡᠨ
šahūrun, ᡧᠠᡥᡡᡵᡠᠨ
šakšaha, ᡧᠠᡴᡧᠠᡥᠠ
šan, ᡧᠠᠨ
šancin, ᡧᠠᠨᠴᡳᠨ
šandung, ᡧᠠᠨᡩᡠᠩ
šanggiyan, ᡧᠠᠩᡤᡳᠶᠠᠨ
šansi, ᡧᠠᠨᠰᡳ
šanyan, ᡧᠠᠨᠶᠠᠨ
šatan, ᡧᠠᡨᠠᠨ
šašambi, ᡧᠠᡧᠠᠮᠪᡳ
šenggin, ᡧᡝᠩᡤᡳᠨ
šeri, ᡧᡝᡵᡳ
šetuhen, ᡧᡝᡨᡠᡥᡝᠨ
šeyen, ᡧᡝᠶᡝᠨ
šešempe, ᡧᡝᡧᡝᠮᡦᡝ
šešeri, ᡧᡝᡧᡝᡵᡳ
šidzung, ᡧᡳᡯᡠᠩ
šimin, ᡧᡳᠮᡳᠨ
šobin, ᡧᠣᠪᡳᠨ
šodombi, ᡧᠣᡩᠣᠮᠪᡳ
šoge, ᡧᠣᡤᡝ
šoho, ᡧᠣᡥᠣ
šolontu, ᡧᠣᠯᠣᠨᡨᡠ
šongkon, ᡧᠣᠩᡴᠣᠨ
šongk᠋oro, ᡧᠣᠩᡴ᠋ᠣᡵᠣ
šorho, ᡧᠣᡵᡥᠣ
šu, ᡧᡠ
šugi, ᡧᡠᡤᡳ
šula, ᡧᡠᠯᠠ
šulhe, ᡧᡠᠯᡥᡝ
šumin, ᡧᡠᠮᡳᠨ
šumuru, ᡧᡠᠮᡠᡵᡠ
šun, ᡧᡠᠨ
šusiha, ᡧᡠᠰᡳᡥᠠ
šušu, ᡧᡠᡧᡠ
ūlen, ᡡᠯᡝᠨ
ūlet, ᡡᠯᡝᡨ
ūren, ᡡᡵᡝᠨ
žiben, ᡰᡳᠪᡝᠨ
žindzung, ᡰᡳᠨᡯᡠᠩ
