kakiri, ᡴᠠᡴᡳᡵᡳ
anju, ᠠᠨᠵᡠ
yali, ᠶᠠᠯᡳ
fefe, ᡶᡝᡶᡝ
coco, ᠴᠣᠴᠣ
ula, ᡠᠯᠠ
bithe, ᠪᡳᡨᡥᡝ
hūwajiyoo, ᡥᡡᠸᠠᠵᡳᠶᠣᠣ
suduri bit᠌he, ᠰᡠᡩᡠᡵᡳ ᠪᡳᡨ᠌ᡥᡝ
ama eme, ᠠᠮᠠ ᡝᠮᡝ
tuweri, ᡨᡠᠸᡝᡵᡳ
niyengniyeri, ᠨᡳᠶᡝᠩᠨᡳᠶᡝᡵᡳ
eme, ᡝᠮᡝ
ama, ᠠᠮᠠ
duin erin, ᡩᡠᡳᠨ ᡝᡵᡳᠨ
bolori, ᠪᠣᠯᠣᡵᡳ
kungdzi, ᡴᡠᠩᡯᡳ
erin, ᡝᡵᡳᠨ
nimaha, ᠨᡳᠮᠠᡥᠠ
oros, ᠣᡵᠣᠰ
suduri dangse, ᠰᡠᡩᡠᡵᡳ ᡩᠠᠩᠰᡝ
dangse, ᡩᠠᠩᠰᡝ
dangse boo, ᡩᠠᠩᠰᡝ ᠪᠣᠣ
ejebun, ᡝᠵᡝᠪᡠᠨ
inenggi ejebun, ᡳᠨᡝᠩᡤᡳ ᡝᠵᡝᠪᡠᠨ
suduri ejebun, ᠰᡠᡩᡠᡵᡳ ᡝᠵᡝᠪᡠᠨ
inenggi, ᡳᠨᡝᠩᡤᡳ
sike, ᠰᡳᡴᡝ
hamu, ᡥᠠᠮᡠ
hehe, ᡥᡝᡥᡝ
kesike, ᡴᡝᠰᡳᡴᡝ
sefu, ᠰᡝᡶᡠ
šabi, ᡧᠠᠪᡳ
adali, ᠠᡩᠠᠯᡳ
jui, ᠵᡠᡳ
abkai jui, ᠠᠪᡴᠠᡳ ᠵᡠᡳ
biyangga efen, ᠪᡳᠶᠠᠩᡤᠠ ᡝᡶᡝᠨ
ice, ᡳᠴᡝ
uksin, ᡠᡴ᠋ᠰᡳ᠍ᠨ
amihūn, ᠠᠮᡳᡥᡡᠨ
nimeku, ᠨᡳᠮᡝᡴᡠ
ninggiya efen, ᠨᡳᠩᡤᡳᠶᠠ ᡝᡶᡝᠨ
amaga enen, ᠠᠮᠠᡤᠠ ᡝᠨᡝᠨ
menggun, ᠮᡝᠩᡤᡠᠨ
enenggi, ᡝᠨᡝᠩᡤᡳ
coro, ᠴᠣᡵᠣ
ere cimari, ᡝᡵᡝ ᠴᡳᠮᠠᡵᡳ
ecimari, ᡝᠴᡳᠮᠠᡵᡳ
cimari, ᠴᡳᠮᠠᡵᡳ
mucu, ᠮᡠᠴᡠ
jeje, ᠵᡝᠵᡝ
yafahan uksin, ᠶᠠᡶᠠᡥᠠᠨ ᡠᡴ᠋ᠰᡳ᠍ᠨ
daicing gurun, ᡩᠠᡳ᠌ᠴᡳᠩ ᡤᡠᡵᡠᠨ
an nan, ᠠᠨ ᠨᠠᠨ
daiiming gurun, ᡩᠠᡳᡳᠮᡳᠩ ᡤᡠᡵᡠᠨ
daiiming, ᡩᠠᡳᡳᠮᡳᠩ
daicing, ᡩᠠᡳ᠌ᠴᡳᠩ
senggi, ᠰᡝᠩᡤᡳ
okto, ᠣᡴ᠋ᡨ᠋ᠣ
fituhan, ᡶ᠋ᡳᡨᡠᡥᠠᠨ
yuwei kin, ᠶᡠᠸᡝᡳ ᡴᡳᠨ
gaha oton, ᡤᠠᡥᠠ ᠣᡨ᠋ᠣᠨ
yafahan cooha, ᠶᠠᡶᠠᡥᠠᠨ ᠴᠣᠣᡥᠠ
kuburhen, ᡴᡠᠪᡠᡵᡥᡝᠨ
šobin, ᡧᠣᠪᡳᠨ
d᠋e᠋ gurun, ᡩ᠋ᡝ᠋ ᡤᡠᡵᡠᠨ
ming gurun, ᠮᡳᠩ ᡤᡠᡵᡠᠨ
namun, ᠨᠠᠮᡠᠨ
mederi, ᠮᡝᡩᡝᡵᡳ
cai, ᠴᠠᡳ
yasa, ᠶᠠᠰᠠ
nure, ᠨᡠᡵᡝ
arki, ᠠᡵᡴᡳ
šoho, ᡧᠣᡥᠣ
yoho, ᠶᠣᡥᠣ
baniha, ᠪᠠᠨᡳᡥᠠ
